domain,ransomwareGroup,timestamp,lockbitURL,domainCountry,domainDescription
grupomoraval.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/CHpH8zAx6Gt3Jbuo65c625e920186,ES,"Founded more than 20 years ago by experienced professionals in the field of construction and real estate, Grupo Moraval is a team of more than 30 top professionals dedicated to high-quality development, design and implementation of real estate proper..."
cdtmedicus.pl,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/qq9EaS4D6fQrdBLj65c626cbe610b,PL,"The Medicus Diagnostic and Therapy Center has 19 specialized clinics where patients can receive professional advice from doctors.specialists, and thereby take care of the health of yourself and your loved ones."
soken-ce.co.jp,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/UJbwfSoJoj8eHhKN65c6280e25f78,JP,"Since its founding in 1948, the Soken Kagaku Group has developed unique technologies in fields such as home appliances, automobiles, and building materials, based on the founding spirit of ``Let's be the best company, no matter how small, and contrib..."
maximumresearch.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/kz1j2UdQj0mov3lc65c628fcb6283,US,"MAXimum Research, Inc. is a market research firm with over 300 CATI stations. Our facility houses a100 CATI station phone room, in addition to 200+ remote agents across the US. Based in Southern New Jersey, just minutes from Philadelphia, MAXimum Res..."
indoramaventures.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/0lPldMwztJi1z61L65c629ed82633,TH,Indorama Ventures is a world-class sustainable chemical company making great products for society.
northseayachtsupport.nl,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/vDEM98Bnzbre2HT665c60a0edf02b,NL,"The challenge for Northsea lies in the involvement from design to manufacturing. By combining modern production techniques and hand craft, Northsea: designs, develops and manufactures high-quality finished stainless steel products for luxury yacht bu..."
seymourct.org,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/49fRokRWjZFA9TTQ65c5fee4619c9,US,seymourct.org
bsaarchitects.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/uGNhc99Slm4fjc9P65c5ff58e2d42,US,"Bull Stockwell Allen – Architecture + Planning + InteriorsBull Stockwell Allen is an award winning architecture, interior design and planning firm known for its work in hospitality and resort projects"
moneyadvicetrust.org,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/zy1MoDilVw5r5tl465c6014fed063,UK,"The Money Advice Trust is a national charity, helping people across the UK to tackle their debts and manage their money with confidence."
macqueeneq.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/8KByvLzXX9vsjR7w65c5e7d0b68cc,US,"Since 1961 the MacQueen Equipment Group has been growing and serving multiple heavy equipment industries in the Midwest. In addition to sales, MacQueen has five service facilities that provide maintenance, parts and training that deliver maximum upti..."
galbusera.it,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/8X4eW7dbtsJ0LNi265c264743f6ee,IT,"Galbusera is an Italian food company that produces biscuits, crackers and snacks. There were stolen about 500 gb of data including their contracts and private data of their employers and clients"
perkinsmfg.com,lockbit3,08/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/f47kEpbYxQwM52G865c5107f3f347,US,Perkins Manufacturing was one of my father’s biggest pride and joy. My siblings and I grew up chasing garbage trucks and going to visit dumpers in the back of restaurants all through our childhood. When I got married we even had our wedding presents...
originalfootwear.com,lockbit3,08/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Lq3lx7RIdqhgCf1865c50f25cfe2a,US,"Original Footwear is the leading manufacturer of occupational and tactical footwear for military, law enforcement and first responders. Founded in 1999, and based in Morrison. Tennessee, Original Footwear is the parent of Altama, Original S.W.A.T and..."
axsbolivia.com,lockbit3,07/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/W67tL6M0HciU1hSK65c2c383067f9,BO,"AXS Bolivia es la empresa de telecomunicaciones der en Bolivia. Ofrece productos, servicios y soluciones de Internet"
vimarequipment.com,lockbit3,07/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/3CPRLbTGU6im1AlD65c2c3da4ab6b,CA,"In 1975, Vimar Machinery was founded by Maurice Roden. Maurice carried Vactor, bringing on more brands such as Elgin as the years went on and the business grew. In 1979, Maurice had his sons, Michael and Garth, join the company, where in 1995, they b..."
themisbourne.co.uk,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/5frXcadwdYhF3F4t65c1272795d24,UK,"The Misbourne is a secondary school in Great Missenden, Buckinghamshire. It is an Academy which takes children from the age of 11 through to the age of 19.We have students data, bank details, salary data, HR data, many confidential agreements, et..."
hutchpaving.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/mHcad8PweZVMSPzH65c11074156bc,US,"Hutch PavingCommercial & Residential Construction Employees (lists with ssn numbers, residential address, DOB, passport scans, contracts, information on salaries, bonuses and other confidential documents for employees) Finance (budget, audit, tax..."
davis-french-associates.co.uk,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/4y5bKuZYmjZQ2MGm65c11182b618a,UK,"Davis French & Associates Ltd: Providing Disaster Response, Damage Management, Business Continuity and Recovery services to Insurers"
noe.wifi.at,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/xh6RYUnwgLEuR3GV65c0c5ef386c0,AT,noe.wifi.at
ksa-architecture.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Ymyhag6wOr72PZz765c0e58394988,US,"1 terabyte of private information, projects, construction schemes including Bank schemes"
semesco.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/ybLQrbuNuM0B5z0T65c0c4fbf182d,CY,SEMESCO CO. Ltd was established in 1991 and is a rapidly expanding firm in the field of Specialist Electromechanical and Marine Engineering Services.
